,logFC,logCPM,PValue,FDR
FGRAMPH1_01T08167,6.139984552,0.776274014,7.68E-05,0.000272623
FGRAMPH1_01T08169,-0.895838406,4.111385457,0.005321244,0.012639312
FGRAMPH1_01T08171,-0.9646248,3.916197807,0.025324194,0.049620773
FGRAMPH1_01T08173,1.91228545,2.364949002,0.000380683,0.001188271
FGRAMPH1_01T08175,1.844988551,0.849767915,0.02292204,0.045517803
FGRAMPH1_01T08181,-3.60432211,1.89258296,2.65E-07,1.36E-06
FGRAMPH1_01T08211,10.83626105,6.467067602,6.62E-47,7.07E-45
FGRAMPH1_01T08249,-1.688803084,2.01064666,0.002092041,0.005521472
FGRAMPH1_01T08251,-5.513063385,4.574532348,1.59E-25,3.46E-24
FGRAMPH1_01T08275,-1.913222253,2.982523506,1.00E-06,4.78E-06
FGRAMPH1_01T08277,-5.796554606,4.072685653,6.14E-31,1.98E-29
FGRAMPH1_01T08279,-1.052566236,4.797954083,0.003308702,0.008301906
FGRAMPH1_01T08283,1.127385872,3.67044265,0.001246468,0.003474107
FGRAMPH1_01T08285,2.37799298,5.946593363,6.34E-08,3.51E-07
FGRAMPH1_01T08295,0.875649363,6.675258371,0.022516648,0.044789722
FGRAMPH1_01T08317,-1.396474185,1.982248061,0.019396531,0.039300135
FGRAMPH1_01T08323,-0.779805026,6.376452884,0.005627702,0.013273816
FGRAMPH1_01T08331,1.943808969,1.749134342,0.016307251,0.033773311
FGRAMPH1_01T08339,-1.947990765,5.07717114,0.000246499,0.00079948
FGRAMPH1_01T08341,-1.078330296,7.169475995,0.007220742,0.016546349
FGRAMPH1_01T08345,-3.465962315,5.948078038,2.28E-09,1.46E-08
FGRAMPH1_01T08349,5.481559528,3.035351769,3.89E-15,4.23E-14
FGRAMPH1_01T08351,0.916248052,4.162245486,0.012238746,0.026326891
FGRAMPH1_01T08353,1.756980815,2.556189322,4.34E-05,0.000161158
FGRAMPH1_01T08355,5.295552538,3.668452742,1.36E-07,7.22E-07
FGRAMPH1_01T08357,2.64929994,5.092352254,0.001187186,0.003325711
FGRAMPH1_01T08367,-2.201767081,0.861169081,0.000213375,0.000700295
FGRAMPH1_01T08369,1.838422484,3.88971879,0.004052795,0.00994745
FGRAMPH1_01T08371,3.758119897,4.405561976,1.40E-05,5.66E-05
FGRAMPH1_01T08373,3.645343811,6.714536162,3.34E-08,1.90E-07
FGRAMPH1_01T08381,4.494854111,1.254052856,3.74E-06,1.64E-05
FGRAMPH1_01T08385,-4.80715111,5.518441645,1.31E-21,2.23E-20
FGRAMPH1_01T08387,-5.210581803,0.915516953,3.95E-11,3.02E-10
FGRAMPH1_01T08393,-7.185625535,0.13350735,4.18E-08,2.35E-07
FGRAMPH1_01T08395,-2.816749653,0.744278438,0.000454133,0.001392279
FGRAMPH1_01T08397,-3.416938632,3.282820308,1.03E-07,5.54E-07
FGRAMPH1_01T08413,3.243251565,6.645955839,0.000272548,0.000874209
FGRAMPH1_01T08415,7.087978871,2.472853049,7.49E-09,4.57E-08
FGRAMPH1_01T08417,2.67790858,5.334653515,9.78E-10,6.54E-09
FGRAMPH1_01T08419,5.531244548,2.571455132,4.05E-07,2.02E-06
FGRAMPH1_01T08433,3.270111811,2.360944591,6.72E-10,4.58E-09
FGRAMPH1_01T08435,6.561971598,3.178057744,2.61E-21,4.36E-20
FGRAMPH1_01T08441,-4.135085705,3.059203899,0.000493229,0.001501064
FGRAMPH1_01T08443,6.249360274,2.856736853,6.26E-14,6.13E-13
FGRAMPH1_01T08465,1.000345812,4.455592427,0.003069149,0.007775426
FGRAMPH1_01T08473,11.95834824,8.968646702,3.19E-80,3.34E-77
FGRAMPH1_01T08475,-0.92315517,4.504268584,0.003695966,0.009181124
FGRAMPH1_01T08483,8.799113385,6.837847777,1.60E-26,3.70E-25
FGRAMPH1_01T08489,10.04251376,4.782894336,4.61E-64,1.38E-61
FGRAMPH1_01T08491,5.389638955,2.688116457,1.04E-17,1.37E-16
FGRAMPH1_01T08497,-2.484787453,6.932627252,2.64E-06,1.19E-05
FGRAMPH1_01T08501,1.365512253,4.565505943,0.001745945,0.004690619
FGRAMPH1_01T08507,-1.474158514,4.802196655,0.007206356,0.016520619
FGRAMPH1_01T08521,3.305693596,3.951218765,2.82E-14,2.86E-13
FGRAMPH1_01T08523,4.728534447,1.580646197,1.04E-05,4.28E-05
FGRAMPH1_01T08525,6.40682002,0.605478839,5.71E-06,2.44E-05
FGRAMPH1_01T08527,2.605052938,1.544313953,0.000739174,0.002172464
FGRAMPH1_01T08531,5.785209895,0.794050634,9.91E-05,0.000345431
FGRAMPH1_01T08533,5.272983985,2.61700574,4.09E-10,2.83E-09
FGRAMPH1_01T08535,2.802842542,0.705230692,0.003027134,0.007685733
FGRAMPH1_01T08575,2.847291735,1.942393313,0.000117853,0.000405357
FGRAMPH1_01T08577,4.816246726,3.118406316,1.77E-09,1.15E-08
FGRAMPH1_01T08583,9.139471889,5.861161655,5.41E-28,1.36E-26
FGRAMPH1_01T08587,3.561838226,11.28052645,3.12E-06,1.39E-05
FGRAMPH1_01T08601,2.543710846,3.083195645,4.08E-05,0.000152318
FGRAMPH1_01T08611,7.178814794,0.548253924,0.002193543,0.005760802
FGRAMPH1_01T08615,-1.104693464,3.156587125,0.011426785,0.024809806
FGRAMPH1_01T08631,-2.901268783,5.514709956,2.13E-14,2.19E-13
FGRAMPH1_01T08633,4.542937459,5.168328262,1.09E-07,5.85E-07
FGRAMPH1_01T08637,-2.496626546,1.856964577,0.000216252,0.000708184
FGRAMPH1_01T08641,-4.814075907,3.329624161,5.91E-07,2.88E-06
