,logFC,logCPM,PValue,FDR
FGRAMPH1_01T00321,13.25737129,8.969474266,7.92E-14,8.63E-12
FGRAMPH1_01T04429,12.81854491,8.020807175,2.86E-10,1.54E-08
FGRAMPH1_01T22087,11.73145258,11.904362,5.43E-29,1.14E-25
FGRAMPH1_01T09249,11.57582458,6.367245648,0.000689596,0.005278158
FGRAMPH1_01T16285,11.56080141,4.867855574,4.16E-05,0.000539223
FGRAMPH1_01T00199,11.53019684,9.583851859,2.10E-13,2.02E-11
FGRAMPH1_01T00047,11.45473224,8.823556899,8.00E-10,3.88E-08
FGRAMPH1_01T11607,11.4214892,6.628799149,1.23E-11,8.76E-10
FGRAMPH1_01T16273,11.20575346,6.718938488,0.002942375,0.016723115
FGRAMPH1_01T25539,11.17080377,10.9975742,2.06E-31,5.39E-28
FGRAMPH1_01T21107,11.11702323,9.641122002,2.52E-13,2.36E-11
FGRAMPH1_01T08973,11.10907038,8.374855611,2.48E-16,4.55E-14
FGRAMPH1_01T15791,11.01381362,6.663734565,1.08E-05,0.000172094
FGRAMPH1_01T15653,11.00793815,7.17723945,0.000389335,0.003287822
FGRAMPH1_01T00059,11.00254627,6.180607152,0.001596222,0.010290372
FGRAMPH1_01T09291,11.00000719,5.583573162,0.000691614,0.005289733
FGRAMPH1_01T00619,10.94804913,5.481629916,0.00253974,0.014962446
FGRAMPH1_01T27991,10.932824,11.97481386,2.35E-18,6.15E-16
FGRAMPH1_01T21895,10.9026159,12.60900128,3.22E-28,5.25E-25
FGRAMPH1_01T22193,10.90240547,6.630328947,0.004409364,0.02310224
FGRAMPH1_01T15497,10.877154,9.664940079,8.18E-19,2.38E-16
FGRAMPH1_01T12213,10.87578192,9.152912029,7.73E-06,0.000128138
FGRAMPH1_01T08895,10.78504089,7.96227114,1.66E-05,0.000248614
FGRAMPH1_01T00197,10.7765385,9.711390675,2.36E-12,1.83E-10
FGRAMPH1_01T03853,10.68368383,6.310522706,2.22E-06,4.36E-05
FGRAMPH1_01T15531,10.65193595,3.931557535,0.003387379,0.018763267
FGRAMPH1_01T28035,10.61583982,6.093995807,0.004890986,0.025048648
FGRAMPH1_01T00281,10.61110644,8.364127598,6.94E-18,1.73E-15
FGRAMPH1_01T16235,10.54119132,7.486962882,0.008062244,0.036997922
FGRAMPH1_01T08997,10.5217549,8.980925207,3.43E-09,1.41E-07
FGRAMPH1_01T16775,10.50338301,7.238347974,5.58E-06,9.62E-05
FGRAMPH1_01T13833,10.50181059,10.5393955,8.51E-19,2.41E-16
FGRAMPH1_01T13337,10.50157254,11.46011628,7.83E-49,8.20E-45
FGRAMPH1_01T21057,10.46200999,4.349644172,0.000111429,0.001215724
FGRAMPH1_01T11605,10.38107193,9.069085309,6.08E-20,2.36E-17
FGRAMPH1_01T23771,10.35975842,9.572817536,1.61E-17,3.74E-15
FGRAMPH1_01T13223,10.34758459,9.40780872,7.64E-19,2.35E-16
FGRAMPH1_01T16469,10.30819772,6.77486427,0.000796318,0.005938614
FGRAMPH1_01T21725,10.2829297,6.63879434,9.50E-06,0.000153102
FGRAMPH1_01T11609,10.26743989,7.335414825,1.81E-07,5.01E-06
FGRAMPH1_01T00201,10.20753509,11.26100569,1.84E-19,6.62E-17
FGRAMPH1_01T03399,10.11633251,10.12028427,9.22E-38,4.82E-34
FGRAMPH1_01T05533,10.11195165,5.500629448,0.010874861,0.046613549
FGRAMPH1_01T25287,10.0932663,9.506270986,2.62E-16,4.72E-14
FGRAMPH1_01T25027,10.08242,8.03714091,1.24E-17,2.94E-15
FGRAMPH1_01T21329,10.06121712,5.792339024,0.007178708,0.033940723
FGRAMPH1_01T21105,10.02268479,8.49671388,4.39E-05,0.000560354
FGRAMPH1_01T25093,10.01231487,9.75576797,2.00E-13,1.95E-11
FGRAMPH1_01T25329,10.00299833,6.150757782,3.78E-05,0.000496709
FGRAMPH1_01T07999,9.994709475,9.772174221,3.73E-09,1.53E-07
FGRAMPH1_01T16217,9.989414292,10.45910183,2.09E-22,1.21E-19
FGRAMPH1_01T02755,9.909779961,10.69852387,5.60E-20,2.26E-17
FGRAMPH1_01T25755,9.837296048,9.595401964,4.95E-16,8.35E-14
FGRAMPH1_01T14193,9.822877477,10.6343272,8.96E-24,7.82E-21
FGRAMPH1_01T08845,9.810297347,8.479731104,2.90E-14,3.52E-12
FGRAMPH1_01T04995,9.793077079,6.414667912,3.56E-07,9.11E-06
