,logFC,logCPM,PValue,FDR
FGRAMPH1_01T00001,2.524380067,1.634319301,3.42E-06,1.40E-05
FGRAMPH1_01T00009,-4.612603224,5.721921132,4.19E-17,5.26E-16
FGRAMPH1_01T00019,4.16296187,3.325765691,1.17E-12,1.02E-11
FGRAMPH1_01T00025,1.831324168,1.019705961,0.015670311,0.030532303
FGRAMPH1_01T00027,1.893970521,2.964960079,0.001340717,0.003418109
FGRAMPH1_01T00029,8.459853969,4.831021716,1.24E-08,7.04E-08
FGRAMPH1_01T00041,5.510642193,2.409688218,1.49E-07,7.34E-07
FGRAMPH1_01T00047,10.67673109,8.823556899,3.91E-21,6.70E-20
FGRAMPH1_01T00049,10.58734906,4.689225651,1.05E-17,1.40E-16
FGRAMPH1_01T00051,3.230608482,4.395221709,0.000889879,0.002359555
FGRAMPH1_01T00053,9.62382026,8.26675733,3.04E-39,1.99E-37
FGRAMPH1_01T00059,11.09177547,6.180607152,3.05E-23,6.02E-22
FGRAMPH1_01T00065,1.711262296,3.012446283,0.002332956,0.005606275
FGRAMPH1_01T00067,7.333342843,1.308649979,4.18E-08,2.22E-07
FGRAMPH1_01T00071,7.94446903,4.252379709,5.59E-30,1.83E-28
FGRAMPH1_01T00075,11.14585226,2.772203467,1.20E-11,9.56E-11
FGRAMPH1_01T00077,10.30769776,2.686013341,2.60E-13,2.42E-12
FGRAMPH1_01T00081,12.88293424,4.390742232,1.17E-17,1.55E-16
FGRAMPH1_01T00087,2.881892393,0.742092674,0.000618724,0.001687181
FGRAMPH1_01T00091,2.222641366,1.766670753,0.007101577,0.015170232
FGRAMPH1_01T00093,8.304536077,7.149340873,2.32E-23,4.61E-22
FGRAMPH1_01T00095,7.804542328,2.068428078,3.08E-08,1.66E-07
FGRAMPH1_01T00097,2.247009203,5.211531994,5.64E-08,2.93E-07
FGRAMPH1_01T00105,12.41576528,8.570333723,5.71E-56,1.57E-53
FGRAMPH1_01T00111,-2.603209176,0.410677132,0.023456561,0.04352594
FGRAMPH1_01T00117,3.622167981,3.119844425,2.70E-08,1.47E-07
FGRAMPH1_01T00123,2.029861891,1.459779683,0.000214601,0.000638615
FGRAMPH1_01T00131,-4.314526425,0.296981681,0.008001181,0.016807138
FGRAMPH1_01T00147,3.814369211,1.936581396,0.007451883,0.015834495
FGRAMPH1_01T00153,5.641513154,0.87009359,0.004549778,0.010208948
FGRAMPH1_01T00155,8.87720799,3.049399382,1.90E-06,8.04E-06
FGRAMPH1_01T00157,3.929418674,2.877752212,0.000906712,0.002396901
FGRAMPH1_01T00167,5.269665509,5.103159683,2.77E-14,2.79E-13
FGRAMPH1_01T00169,4.897207564,1.835083823,9.72E-08,4.90E-07
FGRAMPH1_01T00177,-2.410263613,0.925766723,0.0014233,0.003610179
FGRAMPH1_01T00183,-1.79672408,4.832998965,0.000615367,0.001678902
FGRAMPH1_01T00187,5.878122279,0.728915521,0.000857607,0.002280341
FGRAMPH1_01T00193,3.183714289,4.613205109,1.73E-15,1.91E-14
FGRAMPH1_01T00195,1.669624311,8.060731274,6.79E-05,0.000223423
FGRAMPH1_01T00197,9.34146031,9.711390675,2.69E-17,3.44E-16
FGRAMPH1_01T00199,9.972466464,9.583851859,1.25E-20,2.08E-19
FGRAMPH1_01T00201,8.596247748,11.26100569,3.51E-20,5.68E-19
FGRAMPH1_01T00203,5.174760037,2.728393852,0.014636263,0.028736952
FGRAMPH1_01T00205,2.686474339,2.328242455,6.23E-06,2.44E-05
FGRAMPH1_01T00209,12.70160286,5.865436853,9.01E-33,3.61E-31
FGRAMPH1_01T00211,1.220344169,2.515202161,0.006217294,0.013496172
FGRAMPH1_01T00213,4.566421117,7.465050359,7.46E-12,6.05E-11
FGRAMPH1_01T00215,4.742874626,5.260038958,7.48E-13,6.67E-12
FGRAMPH1_01T00217,10.21898153,5.613395484,1.72E-38,1.05E-36
FGRAMPH1_01T00219,3.352362261,3.733809466,1.14E-10,8.25E-10
FGRAMPH1_01T00221,9.354593442,2.427690414,9.56E-12,7.67E-11
FGRAMPH1_01T00223,7.018357044,10.83585415,1.78E-25,4.20E-24
FGRAMPH1_01T00235,6.092047711,1.294005361,1.59E-10,1.13E-09
FGRAMPH1_01T00243,6.66936665,3.157798357,1.08E-14,1.10E-13
FGRAMPH1_01T00245,-2.314894262,3.309575544,1.07E-05,4.04E-05
FGRAMPH1_01T00273,3.537221332,1.602816813,4.67E-08,2.46E-07
FGRAMPH1_01T00281,11.06292611,8.364127598,2.83E-41,2.19E-39
FGRAMPH1_01T00283,5.370425965,2.751776683,4.20E-13,3.82E-12
FGRAMPH1_01T00291,3.00960105,3.772461725,4.57E-08,2.41E-07
FGRAMPH1_01T00309,8.624860763,1.847287991,2.53E-10,1.75E-09
FGRAMPH1_01T00311,4.907880469,0.863190977,0.007889055,0.016621664
FGRAMPH1_01T00313,4.257438265,2.414634858,1.13E-08,6.46E-08
FGRAMPH1_01T00315,9.341047134,2.445257104,6.05E-19,8.86E-18
FGRAMPH1_01T00321,14.11171556,8.969474266,1.57E-33,6.76E-32
FGRAMPH1_01T00323,7.26732676,0.833416545,0.000207687,0.000619449
FGRAMPH1_01T00327,-3.204151655,4.575066527,6.46E-08,3.33E-07
FGRAMPH1_01T00329,-2.333595014,3.806831043,0.000679319,0.001840422
FGRAMPH1_01T00331,-5.127844275,5.315235351,2.06E-26,5.09E-25
FGRAMPH1_01T00339,7.49491684,0.788452714,3.21E-05,0.000111799
FGRAMPH1_01T00341,8.833430754,1.58341208,1.68E-07,8.23E-07
FGRAMPH1_01T00343,7.205859724,1.714312107,9.75E-10,6.32E-09
FGRAMPH1_01T00345,5.730118503,1.614805201,1.68E-10,1.19E-09
FGRAMPH1_01T00349,5.739804161,2.549035444,3.85E-09,2.34E-08
FGRAMPH1_01T00351,7.585725131,0.646421036,0.000152769,0.000468745
FGRAMPH1_01T00359,4.329673579,0.562115223,0.000659446,0.001791685
FGRAMPH1_01T00373,5.714501603,7.168476224,1.39E-20,2.30E-19
FGRAMPH1_01T00375,6.220240311,1.017020001,0.000124597,0.000389037
FGRAMPH1_01T00377,4.269190071,5.330337798,7.44E-19,1.08E-17
FGRAMPH1_01T00399,6.389624193,1.273740559,4.55E-12,3.76E-11
FGRAMPH1_01T00405,2.406774178,6.592152331,9.76E-08,4.91E-07
FGRAMPH1_01T00413,-1.917988048,5.498005209,2.97E-05,0.000104418
FGRAMPH1_01T00415,1.378641638,2.333612054,0.00226253,0.005450806
FGRAMPH1_01T00437,7.104926354,1.037297045,0.000979247,0.002576278
FGRAMPH1_01T00439,11.43209855,5.861656746,5.27E-15,5.56E-14
FGRAMPH1_01T00441,7.271485897,1.706500221,5.35E-07,2.45E-06
FGRAMPH1_01T00443,4.993854479,2.422308272,0.000447239,0.001252361
FGRAMPH1_01T00445,6.321123819,5.534298942,2.87E-16,3.37E-15
FGRAMPH1_01T00447,5.038236244,3.496032302,4.57E-22,8.27E-21
FGRAMPH1_01T00449,2.319933595,1.357075131,0.001175212,0.00303611
FGRAMPH1_01T00455,3.955737617,5.078372827,4.46E-10,2.98E-09
FGRAMPH1_01T00457,1.382075675,5.146272437,0.001232308,0.003169528
FGRAMPH1_01T00459,-1.655873638,2.73460653,4.73E-05,0.000160139
FGRAMPH1_01T00461,1.39626679,6.623935224,0.000950019,0.002502529
FGRAMPH1_01T00467,9.486821652,6.496573609,2.41E-32,9.32E-31
FGRAMPH1_01T00471,7.29866968,5.256955744,1.88E-47,2.31E-45
FGRAMPH1_01T00473,2.032079983,6.115500344,0.000130218,0.000405256
FGRAMPH1_01T00477,1.258757152,8.071250098,0.016703,0.032297817
FGRAMPH1_01T00481,1.457561294,6.596195386,1.31E-06,5.69E-06
FGRAMPH1_01T00483,2.985415879,4.678181635,7.93E-11,5.82E-10
FGRAMPH1_01T00487,2.146594657,4.846143209,2.14E-06,9.03E-06
FGRAMPH1_01T00491,-1.716370041,3.166941179,5.15E-05,0.000173124
FGRAMPH1_01T00503,1.377933325,5.398151981,0.017893047,0.034332469
FGRAMPH1_01T00507,-0.687906287,6.062238545,0.022435059,0.041922682
FGRAMPH1_01T00509,1.626394119,4.07147947,2.50E-05,8.92E-05
FGRAMPH1_01T00521,1.152565893,9.648315577,0.005396417,0.011891894
FGRAMPH1_01T00529,5.762348355,5.742319146,4.59E-12,3.79E-11
FGRAMPH1_01T00535,9.583410131,5.135216796,7.35E-31,2.59E-29
FGRAMPH1_01T00537,10.88870884,7.294429914,4.31E-38,2.53E-36
FGRAMPH1_01T00539,4.553874105,8.128800844,4.74E-32,1.81E-30
FGRAMPH1_01T00541,4.310279382,7.226305831,1.76E-16,2.11E-15
FGRAMPH1_01T00543,3.095309978,3.951079952,1.26E-11,9.96E-11
FGRAMPH1_01T00555,1.893079167,2.739153704,3.04E-05,0.000106644
FGRAMPH1_01T00559,1.33864925,4.573138984,0.000717547,0.001933477
FGRAMPH1_01T00561,3.239770652,0.803483541,0.008041653,0.016885374
FGRAMPH1_01T00573,-3.165131518,1.149581391,1.82E-05,6.63E-05
FGRAMPH1_01T00585,5.632696814,1.888896796,5.46E-05,0.000182377
FGRAMPH1_01T00587,8.666786825,3.594696242,3.35E-19,5.03E-18
FGRAMPH1_01T00589,5.972508697,3.241078497,1.44E-15,1.61E-14
