"","logFC","logCPM","PValue","FDR"
"FGRAMPH1_01T00001",2.09624474885846,1.63431930063186,0.000248064794349888,0.000710706994327186
"FGRAMPH1_01T00009",-5.60765876409355,5.72192113223946,1.48194554547375e-30,4.67036031394333e-29
"FGRAMPH1_01T00019",3.74338472787816,3.32576569120679,6.03254869158862e-11,4.02798704276271e-10
"FGRAMPH1_01T00027",1.24521909770626,2.96496007882415,0.0260473018760563,0.0475873789993325
"FGRAMPH1_01T00029",7.71251969033336,4.83102171591309,3.01986081141423e-07,1.36134440628294e-06
"FGRAMPH1_01T00031",-2.00518492551597,1.00579655530705,0.0216269470711464,0.0403427967918354
"FGRAMPH1_01T00041",7.40577069663527,2.40968821789697,1.79803429373428e-14,1.62459696160119e-13
"FGRAMPH1_01T00047",12.0219490273816,8.82355689857101,9.24977424338676e-26,2.08129866470012e-24
"FGRAMPH1_01T00049",11.4266134157367,4.68922565085795,5.96181874920159e-21,9.26872356209454e-20
"FGRAMPH1_01T00051",9.25806176246463,4.39522170907801,3.21398464843659e-24,6.32103785274287e-23
"FGRAMPH1_01T00053",10.7393776641312,8.26675732966947,2.12333411272284e-48,3.17377783163129e-46
"FGRAMPH1_01T00055",5.89112816908639,0.644821031628152,0.000165249438552679,0.000490266618476465
"FGRAMPH1_01T00059",9.64458820165561,6.18060715212998,1.47025402518246e-17,1.71115326646097e-16
"FGRAMPH1_01T00067",7.16433725198122,1.30864997904,1.04005078796996e-07,4.95765439386316e-07
"FGRAMPH1_01T00071",7.00196094724175,4.25237970902551,1.02399632476705e-23,1.96949881360986e-22
"FGRAMPH1_01T00075",5.45677447522796,2.772203467426,0.0045713371197344,0.0101077557658033
"FGRAMPH1_01T00077",8.35207721333682,2.68601334121589,5.82632274793015e-09,3.19333760668377e-08
"FGRAMPH1_01T00081",7.42583172002846,4.39074223159037,1.71156690356514e-06,6.99809476826965e-06
"FGRAMPH1_01T00091",2.30752467637446,1.76667075336571,0.00380960718159455,0.00855363088863172
"FGRAMPH1_01T00093",7.46350680548939,7.14934087346867,3.08828710752953e-20,4.52559495883493e-19
"FGRAMPH1_01T00095",6.49567988728995,2.06842807800384,2.07092278313055e-05,7.11594912311821e-05
"FGRAMPH1_01T00097",3.0544959942773,5.21153199359936,2.10432681500254e-14,1.89154394032402e-13
"FGRAMPH1_01T00101",-2.37819008841901,0.800836580976325,0.00742060230757121,0.0156567376374506
"FGRAMPH1_01T00105",11.2384289398083,8.57033372255815,4.42623625205518e-49,6.90695497947129e-47
"FGRAMPH1_01T00117",3.15944931782361,3.11984442520257,3.05865510934118e-07,1.37764564825815e-06
"FGRAMPH1_01T00131",-6.1468626756403,0.296981681112778,0.000448990041714309,0.00122020332635242
"FGRAMPH1_01T00141",-2.42193312865476,0.324407691218763,0.0210996623901335,0.0394506375246545
"FGRAMPH1_01T00161",-1.90504531389086,2.2598914261326,0.00725681220609511,0.0153700457717355
"FGRAMPH1_01T00167",5.76883129981908,5.10315968295037,1.98424924389328e-17,2.28714030092161e-16
"FGRAMPH1_01T00169",4.38256600445111,1.83508382251776,4.85580309631504e-06,1.85559780119592e-05
"FGRAMPH1_01T00177",-4.21811258406589,0.92576672302695,6.2566986069828e-08,3.07920214133871e-07
"FGRAMPH1_01T00183",-1.68226607242481,4.83299896466413,0.000210712736810238,0.000612243089487786
"FGRAMPH1_01T00187",6.34947950581362,0.728915521309299,0.000166338296249317,0.000492890850653245
"FGRAMPH1_01T00193",3.91104533507619,4.61320510916578,1.10809452747579e-23,2.11569216076263e-22
"FGRAMPH1_01T00195",1.05161821757244,8.06073127396018,0.00635940950590838,0.0136102330282503
"FGRAMPH1_01T00197",11.1531340439705,9.71139067476136,9.92107534907122e-22,1.62447905128845e-20
"FGRAMPH1_01T00199",11.8564224874979,9.58385185857891,1.77181004078911e-26,4.19421910786798e-25
"FGRAMPH1_01T00201",10.1891943032148,11.2610056910037,2.34196481489068e-25,5.04197075271629e-24
"FGRAMPH1_01T00203",6.03964448263106,2.72839385202296,0.00181749373442809,0.00437191597711432
"FGRAMPH1_01T00205",2.16753614534827,2.32824245538626,0.000279649554233642,0.000793161638912062
"FGRAMPH1_01T00209",10.3789162526611,5.8654368528512,3.76288353638702e-22,6.36042818113366e-21
"FGRAMPH1_01T00213",4.30998346579114,7.46505035914107,1.7007805050661e-11,1.19672269162788e-10
"FGRAMPH1_01T00215",4.29994762969116,5.26003895831151,9.07199510577311e-12,6.55526828671989e-11
"FGRAMPH1_01T00217",10.7456120797885,5.61339548383673,1.53101768973068e-42,1.34613765442455e-40
"FGRAMPH1_01T00219",3.22009398114193,3.73380946614026,1.04388050185561e-10,6.7965909713225e-10
"FGRAMPH1_01T00221",8.8396305660396,2.42769041437186,1.11545067304445e-10,7.23556130940117e-10
"FGRAMPH1_01T00223",7.6487742396868,10.8358541496812,1.68337436397852e-29,4.97546496336362e-28
"FGRAMPH1_01T00243",6.32378762726875,3.15779835717432,3.49348550314541e-13,2.83131981560112e-12
"FGRAMPH1_01T00245",-2.07210365139677,3.3095755438976,5.37351841175052e-06,2.03928629460086e-05
